path,task,sets,label_number
healthy/healthy-11-roi3.tif,healthy,train,0
healthy/healthy-03-roi1.tif,healthy,train,0
healthy/healthy-20-roi1.tif,healthy,train,0
healthy/healthy-04-roi2.tif,healthy,train,0
healthy/healthy-13-roi4.tif,healthy,train,0
healthy/healthy-25-roi3.tif,healthy,train,0
healthy/healthy-06-roi2.tif,healthy,train,0
healthy/healthy-10-roi2.tif,healthy,train,0
healthy/healthy-03-roi2.tif,healthy,train,0
healthy/healthy-10-roi3.tif,healthy,train,0
healthy/healthy-13-roi2.tif,healthy,train,0
healthy/healthy-19-roi2.tif,healthy,train,0
healthy/healthy-18-roi2.tif,healthy,train,0
healthy/healthy-14-roi2.tif,healthy,train,0
healthy/healthy-23-roi3.tif,healthy,train,0
healthy/healthy-06-roi1.tif,healthy,train,0
healthy/healthy-04-roi5.tif,healthy,train,0
healthy/healthy-12-roi1.tif,healthy,train,0
healthy/healthy-29-roi5.tif,healthy,train,0
healthy/healthy-11-roi4.tif,healthy,train,0
healthy/healthy-16-roi2.tif,healthy,train,0
healthy/healthy-29-roi3.tif,healthy,train,0
healthy/healthy-30-roi4.tif,healthy,train,0
healthy/healthy-31-roi5.tif,healthy,train,0
healthy/healthy-20-roi3.tif,healthy,train,0
healthy/healthy-32-roi4.tif,healthy,train,0
healthy/healthy-28-roi1.tif,healthy,train,0
healthy/healthy-10-roi1.tif,healthy,train,0
healthy/healthy-23-roi2.tif,healthy,train,0
healthy/healthy-20-roi2.tif,healthy,train,0
healthy/healthy-05-roi3.tif,healthy,train,0
healthy/healthy-10-roi4.tif,healthy,train,0
healthy/healthy-04-roi3.tif,healthy,train,0
healthy/healthy-31-roi3.tif,healthy,train,0
healthy/healthy-01-roi3.tif,healthy,train,0
healthy/healthy-11-roi2.tif,healthy,train,0
healthy/healthy-17-roi3.tif,healthy,train,0
healthy/healthy-26-roi3.tif,healthy,train,0
healthy/healthy-20-roi4.tif,healthy,train,0
healthy/healthy-24-roi2.tif,healthy,train,0
healthy/healthy-31-roi2.tif,healthy,train,0
healthy/healthy-29-roi4.tif,healthy,train,0
healthy/healthy-02-roi3.tif,healthy,train,0
healthy/healthy-01-roi1.tif,healthy,train,0
healthy/healthy-21-roi2.tif,healthy,train,0
healthy/healthy-07-roi2.tif,healthy,train,0
healthy/healthy-16-roi1.tif,healthy,train,0
healthy/healthy-02-roi4.tif,healthy,train,0
healthy/healthy-07-roi1.tif,healthy,train,0
healthy/healthy-04-roi4.tif,healthy,train,0
healthy/healthy-30-roi2.tif,healthy,train,0
healthy/healthy-19-roi1.tif,healthy,train,0
healthy/healthy-14-roi3.tif,healthy,train,0
healthy/healthy-25-roi4.tif,healthy,train,0
healthy/healthy-17-roi2.tif,healthy,train,0
healthy/healthy-02-roi2.tif,healthy,train,0
healthy/healthy-16-roi3.tif,healthy,train,0
healthy/healthy-18-roi3.tif,healthy,train,0
healthy/healthy-18-roi5.tif,healthy,train,0
healthy/healthy-23-roi1.tif,healthy,train,0
healthy/healthy-11-roi1.tif,healthy,train,0
healthy/healthy-15-roi2.tif,healthy,train,0
healthy/healthy-17-roi4.tif,healthy,train,0
healthy/healthy-31-roi4.tif,healthy,train,0
healthy/healthy-18-roi1.tif,healthy,train,0
healthy/healthy-30-roi5.tif,healthy,train,0
